round_number,event_name,circuit_short_name,country,session_date,p1_driver,p2_driver,p3_driver,p1_team,p2_team,p3_team,fastest_lap_driver,fastest_lap_time,pole_driver,pole_time,track_temp_avg,air_temp_avg,rainfall,weather_description,narrative_phase,total_laps
1,Australian Grand Prix,Melbourne,Australia,2025-03-16,NOR,VER,RUS,McLaren,Red Bull Racing,Mercedes,NOR,0 days 00:01:22.167000,NOR,0 days 00:01:15.096000,18.942134831460674,15.707865168539326,True,Wet,Season Start,20
2,Chinese Grand Prix,Shanghai,China,2025-03-23,PIA,NOR,RUS,McLaren,McLaren,Mercedes,HAM,0 days 00:01:35.069000,PIA,0 days 00:01:30.641000,35.81688311688312,27.21558441558442,False,Dry,Season Start,20
3,Japanese Grand Prix,Suzuka,Japan,2025-04-06,VER,NOR,PIA,Red Bull Racing,McLaren,McLaren,ANT,0 days 00:01:30.965000,VER,0 days 00:01:26.983000,20.514285714285716,14.429999999999998,False,Dry,Season Start,20
4,Bahrain Grand Prix,Sakhir,Bahrain,2025-04-13,PIA,RUS,NOR,McLaren,Mercedes,McLaren,PIA,0 days 00:01:35.140000,PIA,0 days 00:01:29.841000,31.870253164556964,27.052531645569626,False,Dry,Season Start,20
5,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2025-04-20,PIA,VER,LEC,McLaren,Red Bull Racing,Ferrari,NOR,0 days 00:01:31.778000,VER,0 days 00:01:27.294000,37.819718309859155,29.483802816901402,False,Dry,McLaren Dominance,20
6,Miami Grand Prix,Miami Gardens,United States,2025-05-04,PIA,NOR,RUS,McLaren,McLaren,Mercedes,NOR,0 days 00:01:29.746000,VER,0 days 00:01:26.204000,38.69060402684564,26.573154362416112,True,Wet,McLaren Dominance,20
7,Emilia Romagna Grand Prix,Imola,Italy,2025-05-18,VER,NOR,PIA,Red Bull Racing,McLaren,McLaren,VER,0 days 00:01:17.988000,PIA,0 days 00:01:14.670000,42.664,23.964666666666666,False,Dry,McLaren Dominance,20
8,Monaco Grand Prix,Monaco,Monaco,2025-05-25,NOR,LEC,PIA,McLaren,Ferrari,McLaren,NOR,0 days 00:01:13.221000,NOR,0 days 00:01:09.954000,43.317499999999995,22.209375,False,Dry,McLaren Dominance,20
9,Spanish Grand Prix,Barcelona,Spain,2025-06-01,PIA,NOR,LEC,McLaren,McLaren,Ferrari,PIA,0 days 00:01:15.743000,PIA,0 days 00:01:11.546000,48.54322580645161,29.12,False,Dry,McLaren Dominance,19
10,Canadian Grand Prix,Montréal,Canada,2025-06-15,RUS,VER,ANT,Mercedes,Red Bull Racing,Mercedes,RUS,0 days 00:01:14.119000,RUS,0 days 00:01:10.899000,49.25329341317366,24.036526946107788,True,Wet,Three-Way Battle,20
