round_number,event_name,driver_code,team_name,race_points,cumulative_points,position,narrative_phase
1,Australian Grand Prix,ALB,Williams,10.0,10.0,5,Season Start
2,Chinese Grand Prix,ALB,Williams,6.0,16.0,7,Season Start
3,Japanese Grand Prix,ALB,Williams,2.0,18.0,9,Season Start
4,Bahrain Grand Prix,ALB,Williams,0.0,18.0,12,Season Start
5,Saudi Arabian Grand Prix,ALB,Williams,2.0,20.0,9,McLaren Dominance
6,Miami Grand Prix,ALB,Williams,10.0,30.0,5,McLaren Dominance
7,Emilia Romagna Grand Prix,ALB,Williams,10.0,40.0,5,McLaren Dominance
8,Monaco Grand Prix,ALB,Williams,2.0,42.0,9,McLaren Dominance
9,Spanish Grand Prix,ALB,Williams,0.0,42.0,19,McLaren Dominance
10,Canadian Grand Prix,ALB,Williams,0.0,42.0,20,Three-Way Battle
11,Austrian Grand Prix,ALB,Williams,0.0,42.0,17,Three-Way Battle
12,British Grand Prix,ALB,Williams,4.0,46.0,8,Three-Way Battle
13,Belgian Grand Prix,ALB,Williams,8.0,54.0,6,Three-Way Battle
14,Hungarian Grand Prix,ALB,Williams,0.0,54.0,15,Turning Point
15,Dutch Grand Prix,ALB,Williams,10.0,64.0,5,Finale
16,Italian Grand Prix,ALB,Williams,6.0,70.0,7,Finale
17,Azerbaijan Grand Prix,ALB,Williams,0.0,70.0,13,Finale
18,Singapore Grand Prix,ALB,Williams,0.0,70.0,14,Finale
19,United States Grand Prix,ALB,Williams,0.0,70.0,14,Finale
20,Mexico City Grand Prix,ALB,Williams,0.0,70.0,12,Finale
21,São Paulo Grand Prix,ALB,Williams,0.0,70.0,11,Finale
22,Las Vegas Grand Prix,ALB,Williams,0.0,70.0,16,Finale
23,Qatar Grand Prix,ALB,Williams,0.0,70.0,11,Finale
24,Abu Dhabi Grand Prix,ALB,Williams,0.0,70.0,16,Finale
1,Australian Grand Prix,ALO,Aston Martin,0.0,0.0,17,Season Start
2,Chinese Grand Prix,ALO,Aston Martin,0.0,0.0,17,Season Start
3,Japanese Grand Prix,ALO,Aston Martin,0.0,0.0,11,Season Start
4,Bahrain Grand Prix,ALO,Aston Martin,0.0,0.0,15,Season Start
5,Saudi Arabian Grand Prix,ALO,Aston Martin,0.0,0.0,11,McLaren Dominance
6,Miami Grand Prix,ALO,Aston Martin,0.0,0.0,15,McLaren Dominance
7,Emilia Romagna Grand Prix,ALO,Aston Martin,0.0,0.0,11,McLaren Dominance
8,Monaco Grand Prix,ALO,Aston Martin,0.0,0.0,19,McLaren Dominance
9,Spanish Grand Prix,ALO,Aston Martin,2.0,2.0,9,McLaren Dominance
10,Canadian Grand Prix,ALO,Aston Martin,6.0,8.0,7,Three-Way Battle
11,Austrian Grand Prix,ALO,Aston Martin,6.0,14.0,7,Three-Way Battle
12,British Grand Prix,ALO,Aston Martin,2.0,16.0,9,Three-Way Battle
13,Belgian Grand Prix,ALO,Aston Martin,0.0,16.0,17,Three-Way Battle
14,Hungarian Grand Prix,ALO,Aston Martin,10.0,26.0,5,Turning Point
15,Dutch Grand Prix,ALO,Aston Martin,4.0,30.0,8,Finale
16,Italian Grand Prix,ALO,Aston Martin,0.0,30.0,19,Finale
17,Azerbaijan Grand Prix,ALO,Aston Martin,0.0,30.0,15,Finale
18,Singapore Grand Prix,ALO,Aston Martin,6.0,36.0,7,Finale
19,United States Grand Prix,ALO,Aston Martin,1.0,37.0,10,Finale
20,Mexico City Grand Prix,ALO,Aston Martin,0.0,37.0,18,Finale
21,São Paulo Grand Prix,ALO,Aston Martin,0.0,37.0,14,Finale
22,Las Vegas Grand Prix,ALO,Aston Martin,0.0,37.0,11,Finale
23,Qatar Grand Prix,ALO,Aston Martin,6.0,43.0,7,Finale
24,Abu Dhabi Grand Prix,ALO,Aston Martin,8.0,51.0,6,Finale
1,Australian Grand Prix,ANT,Mercedes,12.0,12.0,4,Season Start
2,Chinese Grand Prix,ANT,Mercedes,8.0,20.0,6,Season Start
3,Japanese Grand Prix,ANT,Mercedes,8.0,28.0,6,Season Start
4,Bahrain Grand Prix,ANT,Mercedes,0.0,28.0,11,Season Start
5,Saudi Arabian Grand Prix,ANT,Mercedes,8.0,36.0,6,McLaren Dominance
6,Miami Grand Prix,ANT,Mercedes,8.0,44.0,6,McLaren Dominance
7,Emilia Romagna Grand Prix,ANT,Mercedes,0.0,44.0,19,McLaren Dominance
8,Monaco Grand Prix,ANT,Mercedes,0.0,44.0,18,McLaren Dominance
9,Spanish Grand Prix,ANT,Mercedes,0.0,44.0,18,McLaren Dominance
10,Canadian Grand Prix,ANT,Mercedes,15.0,59.0,3,Three-Way Battle
11,Austrian Grand Prix,ANT,Mercedes,0.0,59.0,19,Three-Way Battle
12,British Grand Prix,ANT,Mercedes,0.0,59.0,16,Three-Way Battle
13,Belgian Grand Prix,ANT,Mercedes,0.0,59.0,16,Three-Way Battle
14,Hungarian Grand Prix,ANT,Mercedes,1.0,60.0,10,Turning Point
15,Dutch Grand Prix,ANT,Mercedes,0.0,60.0,16,Finale
16,Italian Grand Prix,ANT,Mercedes,2.0,62.0,9,Finale
17,Azerbaijan Grand Prix,ANT,Mercedes,12.0,74.0,4,Finale
18,Singapore Grand Prix,ANT,Mercedes,10.0,84.0,5,Finale
19,United States Grand Prix,ANT,Mercedes,0.0,84.0,13,Finale
20,Mexico City Grand Prix,ANT,Mercedes,8.0,92.0,6,Finale
21,São Paulo Grand Prix,ANT,Mercedes,18.0,110.0,2,Finale
22,Las Vegas Grand Prix,ANT,Mercedes,15.0,125.0,3,Finale
23,Qatar Grand Prix,ANT,Mercedes,10.0,135.0,5,Finale
24,Abu Dhabi Grand Prix,ANT,Mercedes,0.0,135.0,15,Finale
1,Australian Grand Prix,BEA,Haas F1 Team,0.0,0.0,14,Season Start
2,Chinese Grand Prix,BEA,Haas F1 Team,4.0,4.0,8,Season Start
3,Japanese Grand Prix,BEA,Haas F1 Team,1.0,5.0,10,Season Start
4,Bahrain Grand Prix,BEA,Haas F1 Team,1.0,6.0,10,Season Start
5,Saudi Arabian Grand Prix,BEA,Haas F1 Team,0.0,6.0,13,McLaren Dominance
6,Miami Grand Prix,BEA,Haas F1 Team,0.0,6.0,19,McLaren Dominance
7,Emilia Romagna Grand Prix,BEA,Haas F1 Team,0.0,6.0,17,McLaren Dominance
8,Monaco Grand Prix,BEA,Haas F1 Team,0.0,6.0,12,McLaren Dominance
9,Spanish Grand Prix,BEA,Haas F1 Team,0.0,6.0,17,McLaren Dominance
10,Canadian Grand Prix,BEA,Haas F1 Team,0.0,6.0,11,Three-Way Battle
11,Austrian Grand Prix,BEA,Haas F1 Team,0.0,6.0,11,Three-Way Battle
12,British Grand Prix,BEA,Haas F1 Team,0.0,6.0,11,Three-Way Battle
13,Belgian Grand Prix,BEA,Haas F1 Team,0.0,6.0,11,Three-Way Battle
14,Hungarian Grand Prix,BEA,Haas F1 Team,0.0,6.0,20,Turning Point
15,Dutch Grand Prix,BEA,Haas F1 Team,8.0,14.0,6,Finale
16,Italian Grand Prix,BEA,Haas F1 Team,0.0,14.0,12,Finale
17,Azerbaijan Grand Prix,BEA,Haas F1 Team,0.0,14.0,12,Finale
18,Singapore Grand Prix,BEA,Haas F1 Team,2.0,16.0,9,Finale
19,United States Grand Prix,BEA,Haas F1 Team,2.0,18.0,9,Finale
20,Mexico City Grand Prix,BEA,Haas F1 Team,12.0,30.0,4,Finale
21,São Paulo Grand Prix,BEA,Haas F1 Team,8.0,38.0,6,Finale
22,Las Vegas Grand Prix,BEA,Haas F1 Team,1.0,39.0,10,Finale
23,Qatar Grand Prix,BEA,Haas F1 Team,0.0,39.0,19,Finale
24,Abu Dhabi Grand Prix,BEA,Haas F1 Team,0.0,39.0,12,Finale
1,Australian Grand Prix,BOR,Kick Sauber,0.0,0.0,16,Season Start
2,Chinese Grand Prix,BOR,Kick Sauber,0.0,0.0,14,Season Start
3,Japanese Grand Prix,BOR,Kick Sauber,0.0,0.0,19,Season Start
4,Bahrain Grand Prix,BOR,Kick Sauber,0.0,0.0,18,Season Start
5,Saudi Arabian Grand Prix,BOR,Kick Sauber,0.0,0.0,18,McLaren Dominance
6,Miami Grand Prix,BOR,Kick Sauber,0.0,0.0,18,McLaren Dominance
7,Emilia Romagna Grand Prix,BOR,Kick Sauber,0.0,0.0,18,McLaren Dominance
8,Monaco Grand Prix,BOR,Kick Sauber,0.0,0.0,14,McLaren Dominance
9,Spanish Grand Prix,BOR,Kick Sauber,0.0,0.0,12,McLaren Dominance
10,Canadian Grand Prix,BOR,Kick Sauber,0.0,0.0,14,Three-Way Battle
11,Austrian Grand Prix,BOR,Kick Sauber,4.0,4.0,8,Three-Way Battle
12,British Grand Prix,BOR,Kick Sauber,0.0,4.0,18,Three-Way Battle
13,Belgian Grand Prix,BOR,Kick Sauber,2.0,6.0,9,Three-Way Battle
14,Hungarian Grand Prix,BOR,Kick Sauber,8.0,14.0,6,Turning Point
15,Dutch Grand Prix,BOR,Kick Sauber,0.0,14.0,15,Finale
16,Italian Grand Prix,BOR,Kick Sauber,4.0,18.0,8,Finale
17,Azerbaijan Grand Prix,BOR,Kick Sauber,0.0,18.0,11,Finale
18,Singapore Grand Prix,BOR,Kick Sauber,0.0,18.0,17,Finale
19,United States Grand Prix,BOR,Kick Sauber,0.0,18.0,18,Finale
20,Mexico City Grand Prix,BOR,Kick Sauber,1.0,19.0,10,Finale
21,São Paulo Grand Prix,BOR,Kick Sauber,0.0,19.0,20,Finale
22,Las Vegas Grand Prix,BOR,Kick Sauber,0.0,19.0,17,Finale
23,Qatar Grand Prix,BOR,Kick Sauber,0.0,19.0,13,Finale
24,Abu Dhabi Grand Prix,BOR,Kick Sauber,0.0,19.0,11,Finale
1,Australian Grand Prix,COL,Alpine,0.0,0.0,,Season Start
2,Chinese Grand Prix,COL,Alpine,0.0,0.0,,Season Start
3,Japanese Grand Prix,COL,Alpine,0.0,0.0,,Season Start
4,Bahrain Grand Prix,COL,Alpine,0.0,0.0,,Season Start
5,Saudi Arabian Grand Prix,COL,Alpine,0.0,0.0,,McLaren Dominance
6,Miami Grand Prix,COL,Alpine,0.0,0.0,,McLaren Dominance
7,Emilia Romagna Grand Prix,COL,Alpine,0.0,0.0,16,McLaren Dominance
8,Monaco Grand Prix,COL,Alpine,0.0,0.0,13,McLaren Dominance
